
超级云TV,#genre#
CCTV-4欧洲,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv4oz
CCTV-兵器科技,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvbqkj
CCTV-怀旧剧场,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvhjjc
CCTV-风云剧场,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvfyjc
CCTV-风云音乐,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvfyyy
CCTV-世界地理,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvsjdl
CCTV-文化精品,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvwsjp
CCTV-风云足球,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvfyzq
CCTV-央视台球,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvystq
CCTV-高尔夫网球,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvgef
CCTV-女性时尚,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvnxsc
CCTV-第一剧场,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctvdyjc
CGTN,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cgtn
CGTN纪录,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cgtnjlp
CGTN阿拉伯语,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cgtnalby
CGTN法语,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cgtnfy
